account_code,account_name,debit,credit,balance,account_type,company_id,company_name,period
1000,Cash and Cash Equivalents,24388059.83030215,0.0,24388059.83030215,Asset,retailco,RetailCo,2025-12
1100,Accounts Receivable,30746073.810570244,0.0,30746073.810570244,Asset,retailco,RetailCo,2025-12
1150,Allowance for Doubtful Accounts,0.0,312434.5673599903,-312434.5673599903,Asset,retailco,RetailCo,2025-12
1200,Inventory - Raw Materials,18395590.59653683,0.0,18395590.59653683,Asset,retailco,RetailCo,2025-12
1210,Inventory - Work in Process,8069994.7417255705,0.0,8069994.7417255705,Asset,retailco,RetailCo,2025-12
1220,Inventory - Finished Goods,15810642.839889266,0.0,15810642.839889266,Asset,retailco,RetailCo,2025-12
1300,Prepaid Expenses,2977475.027456619,0.0,2977475.027456619,Asset,retailco,RetailCo,2025-12
1400,"Property, Plant & Equipment",80000000.0,0.0,80000000.0,Asset,retailco,RetailCo,2025-12
1450,Accumulated Depreciation,0.0,30000000.0,-30000000.0,Asset,retailco,RetailCo,2025-12
1500,Intangible Assets,60000000.0,0.0,60000000.0,Asset,retailco,RetailCo,2025-12
1550,Accumulated Amortization,0.0,16000000.0,-16000000.0,Asset,retailco,RetailCo,2025-12
2000,Accounts Payable,0.0,12295919.796520231,-12295919.796520231,Liability,retailco,RetailCo,2025-12
2100,Accrued Expenses,0.0,2106953.834882761,-2106953.834882761,Liability,retailco,RetailCo,2025-12
2150,Accrued Payroll,0.0,3720901.1695672935,-3720901.1695672935,Liability,retailco,RetailCo,2025-12
2200,Deferred Revenue,0.0,0.0,0.0,Liability,retailco,RetailCo,2025-12
2300,Current Portion of Long-term Debt,0.0,216020603.89016122,-216020603.89016122,Liability,retailco,RetailCo,2025-12
2400,Long-term Debt,0.0,381018996.6210204,-381018996.6210204,Liability,retailco,RetailCo,2025-12
3000,Common Stock,0.0,100000000.0,-100000000.0,Equity,retailco,RetailCo,2025-12
3100,Retained Earnings,0.0,-522357848.67388046,522357848.67388046,Equity,retailco,RetailCo,2025-12
4000,Store Revenue,0.0,15621728.367999515,-15621728.367999515,Revenue,retailco,RetailCo,2025-12
5000,Cost of Goods Sold - Materials,3228490.5293865665,0.0,3228490.5293865665,COGS,retailco,RetailCo,2025-12
5100,Cost of Goods Sold - Labor,3228490.5293865665,0.0,3228490.5293865665,COGS,retailco,RetailCo,2025-12
5200,Cost of Goods Sold - Overhead,3228490.5293865665,0.0,3228490.5293865665,COGS,retailco,RetailCo,2025-12
6000,Salaries and Wages,2077689.8729439352,0.0,2077689.8729439352,Operating Expense,retailco,RetailCo,2025-12
6100,Employee Benefits,474900.54238718527,0.0,474900.54238718527,Operating Expense,retailco,RetailCo,2025-12
6200,Rent,296812.8389919908,0.0,296812.8389919908,Operating Expense,retailco,RetailCo,2025-12
6300,Utilities,92016.95328066316,0.0,92016.95328066316,Operating Expense,retailco,RetailCo,2025-12
6400,Insurance,140348.8653502911,0.0,140348.8653502911,Operating Expense,retailco,RetailCo,2025-12
6500,Professional Fees,86306.88619026792,0.0,86306.88619026792,Operating Expense,retailco,RetailCo,2025-12
7000,Sales and Marketing,474900.54238718527,0.0,474900.54238718527,Operating Expense,retailco,RetailCo,2025-12
7100,Advertising,278931.31822962733,0.0,278931.31822962733,Operating Expense,retailco,RetailCo,2025-12
7200,Travel and Entertainment,267687.0351875233,0.0,267687.0351875233,Operating Expense,retailco,RetailCo,2025-12
8000,Research and Development,0.0,0.0,0.0,Operating Expense,retailco,RetailCo,2025-12
9000,Depreciation Expense,178087.70339519446,0.0,178087.70339519446,Operating Expense,retailco,RetailCo,2025-12
9100,Amortization Expense,178087.70339519446,0.0,178087.70339519446,Operating Expense,retailco,RetailCo,2025-12
9500,Interest Expense,120610.87725147855,0.0,120610.87725147855,Operating Expense,retailco,RetailCo,2025-12
